Id,Label,links,total_link_strength,citations,degree.centr,closness.centr,betweeness.norm.centr,clustering,triangles,eigen.centr,component.number
8563,"gelman a, 2006, bayesian anal, v1, p515, doi 10.1214/06-ba117a",927,1039,16,927,0.503051,0.001817,0.095489,40984,0.116985,0
21127,"russell re, 2009, ecol appl, v19, p1253, doi 10.1890/08-0910.1",1609,2093,32,1609,0.512267,0.001778,0.066393,85889,0.229422,0
22930,"spiegelhalter dj, 2002, j r stat soc b, v64, p583, doi 10.1111/1467-9868.00353",1328,1513,20,1328,0.50918,0.001762,0.080534,70961,0.181571,0
14278,"link wa, 2010, bayesian inference with ecological applications, p1",636,669,9,636,0.495919,0.001744,0.162621,32838,0.085707,0
18250,"pacifici k, 2014, ecol evol, v4, p877, doi 10.1002/ece3.976",1356,1625,21,1356,0.508931,0.001738,0.082596,75880,0.188703,0
16807,"mordecai rs, 2011, j appl ecol, v48, p56, doi 10.1111/j.1365-2664.2010.01921.x",990,1174,17,990,0.504977,0.001733,0.103533,50685,0.159923,0
12672,"kery m, 2013, j biogeogr, v40, p1463, doi 10.1111/jbi.12087",984,1060,14,984,0.503857,0.00172,0.095148,46017,0.129895,0
20207,"rich ln, 2016, j appl ecol, v53, p1225, doi 10.1111/1365-2664.12650",1590,2031,29,1590,0.510323,0.001712,0.070918,89587,0.227155,0
22297,"sillett ts, 2012, ecol appl, v22, p1997, doi 10.1890/11-1400.1",389,408,6,389,0.485938,0.001711,0.201071,15174,0.056725,0
17859,"o'hara rb, 2009, bayesian anal, v4, p85, doi 10.1214/09-ba403",584,678,11,584,0.499677,0.001681,0.149451,25442,0.092031,0
10796,"hoekstra jm, 2005, ecol lett, v8, p23, doi 10.1111/j.1461-0248.2004.00686.x",475,495,8,475,0.489394,0.00168,0.153738,17307,0.064024,0
12674,"kery m, 2018, ecology, v99, p281, doi 10.1002/ecy.2093",1015,1224,20,1015,0.504553,0.001658,0.087199,44873,0.106058,0
3463,"burnham kp, 2004, sociol method res, v33, p261, doi 10.1177/0049124104268644",1035,1099,17,1035,0.499529,0.001599,0.079287,42426,0.109307,0
14833,"macarthur r, 1961, ecology, v42, p594, doi 10.2307/1932254",1033,1123,14,1033,0.503932,0.001573,0.10164,54177,0.130122,0
6857,"elith j, 2009, annu rev ecol evol s, v40, p677, doi 10.1146/annurev.ecolsys.110308.120159",1042,1210,17,1042,0.507079,0.001569,0.103833,56315,0.172492,0
20983,"royle ja, 2005, oikos, v110, p353, doi 10.1111/j.0030-1299.2005.13534.x",942,1039,19,942,0.506595,0.001568,0.090503,40112,0.142425,0
20284,"ridout ms, 2009, j agr biol envir st, v14, p322, doi 10.1198/jabes.2009.08038",1343,1615,22,1343,0.500287,0.001548,0.076314,68771,0.15645,0
13886,"leibold ma, 2004, ecol lett, v7, p601, doi 10.1111/j.1461-0248.2004.00608.x",741,841,11,741,0.499982,0.001538,0.131951,36177,0.104068,0
21755,"schuette p, 2013, biol conserv, v158, p301, doi 10.1016/j.biocon.2012.08.008",1393,1801,26,1393,0.507832,0.001523,0.083226,80690,0.210581,0
11033,"hostetler ja, 2015, ecology, v96, p1713, doi 10.1890/14-1487.1",854,979,17,854,0.503257,0.001521,0.093084,33904,0.089247,0
9950,"hanski i, 1998, nature, v396, p41, doi 10.1038/23876",1120,1290,20,1120,0.50578,0.001506,0.087111,54587,0.159666,0
10945,"homer c, 2015, photogramm eng rem s, v81, p345, doi 10.14358/pers.81.5.345",964,1044,16,964,0.502415,0.001504,0.084644,39289,0.108794,0
15400,"martin tg, 2005, ecol lett, v8, p1235, doi 10.1111/j.1461-0248.2005.00826.x",921,1045,14,921,0.505288,0.001497,0.156298,66217,0.191723,0
1107,"bailey ll, 2004, ecol appl, v14, p692, doi 10.1890/03-5012",1167,1375,27,1167,0.507393,0.001493,0.067294,45784,0.154925,0
11251,"hutchinson ge, 1957, cold spring harb sym, v22, p415, doi 10.1101/sqb.1957.022.01.039",796,842,10,796,0.503351,0.001482,0.134367,42515,0.117668,0
6556,"dudgeon d, 2006, biol rev, v81, p163, doi 10.1017/s1464793105006950",433,446,7,433,0.484284,0.001476,0.166752,15596,0.050848,0
10670,"hines j.e., 2006, presence software es",1358,1491,21,1358,0.495302,0.001455,0.090103,83021,0.199218,0
24197,"tingley mw, 2013, ecology, v94, p598, doi 10.1890/12-0928.1",1139,1273,17,1139,0.505015,0.001446,0.093854,60826,0.158627,0
12580,"kendall wl, 2009, j appl ecol, v46, p1182, doi 10.1111/j.1365-2664.2009.01732.x",1280,1507,26,1280,0.509564,0.001444,0.072019,58952,0.182089,0
1549,"bates d, 2015, j stat softw, v67, p1, doi 10.18637/jss.v067.i01",707,730,9,707,0.498589,0.001409,0.135625,33848,0.076525,0
21002,"royle ja, 2014, spatial capture-recapture, p1",731,786,13,731,0.50088,0.001391,0.118524,31624,0.101446,0
22924,"spiegelhalter d, 2003, winbugs user manual",838,992,17,838,0.501288,0.001386,0.099774,34991,0.116654,0
12652,"kery m, 2005, ecol appl, v15, p1450, doi 10.1890/04-1120",1097,1485,28,1097,0.505884,0.001359,0.081485,48985,0.14452,0
17524,"nichols jd, 2006, trends ecol evol, v21, p668, doi 10.1016/j.tree.2006.08.007",794,913,16,794,0.500685,0.001339,0.103986,32737,0.108769,0
12657,"kery m, 2008, community ecol, v9, p207, doi 10.1556/comec.9.2008.2.10",942,1102,18,942,0.505543,0.001336,0.096679,42849,0.136382,0
12662,"kery m, 2009, j appl ecol, v46, p1163, doi 10.1111/j.1365-2664.2009.01724.x",1022,1227,21,1022,0.505525,0.001324,0.092751,48391,0.142522,0
5220,"crooks kr, 2002, conserv biol, v16, p488, doi 10.1046/j.1523-1739.2002.00386.x",1395,1636,19,1395,0.507498,0.001251,0.104715,101816,0.257746,0
7277,"farnsworth gl, 2002, auk, v119, p414, doi 10.1642/0004-8038(2002)119[0414:armfed]2.0.co;2",975,1222,20,975,0.504977,0.001229,0.094633,44934,0.135894,0
3480,"burton ac, 2012, plos one, v7, doi 10.1371/journal.pone.0038007",1273,1467,20,1273,0.506899,0.00121,0.086748,70234,0.19965,0
4162,"chandler rb, 2011, ecology, v92, p1429, doi 10.1890/10-2433.1",826,989,19,826,0.501437,0.001207,0.098446,33543,0.103118,0
23845,"ter braak cjf., 2002, canoco reference man",155,155,2,155,0.461481,0.001196,0.501801,5989,0.027947,0
20386,"ritchie eg, 2009, ecol lett, v12, p982, doi 10.1111/j.1461-0248.2009.01347.x",1283,1576,18,1283,0.504798,0.001193,0.121378,99822,0.246793,0
18178,"otis dl, 1978, wildlife monogr, p1",918,1036,18,918,0.505562,0.001191,0.088819,37384,0.130932,0
18350,"palomares f, 1999, am nat, v153, p492, doi 10.1086/303189",1247,1558,18,1247,0.506652,0.001148,0.121808,94630,0.220719,0
19283,"pollock kh, 2002, environmetrics, v13, p105, doi 10.1002/env.514",1059,1273,22,1059,0.505515,0.001137,0.083908,47006,0.144391,0
21063,"ruiz-gutierrez v, 2010, j appl ecol, v47, p621, doi 10.1111/j.1365-2664.2010.01811.x",956,1107,19,956,0.505941,0.001131,0.087914,40132,0.134328,0
26060,"wiens ja, 1989, funct ecol, v3, p385, doi 10.2307/2389612",1171,1301,14,1171,0.507222,0.00113,0.123731,84760,0.219383,0
623,"andren h, 1994, oikos, v71, p355, doi 10.2307/3545823",986,1048,12,986,0.503641,0.0011,0.143248,69562,0.189934,0
12521,"kellner k., 2019, package jagsui wrapp",751,803,11,751,0.501502,0.001097,0.120373,33900,0.10231,0
18585,"pavlacky dc, 2012, j wildlife manage, v76, p154, doi 10.1002/jwmg.245",883,1040,18,883,0.502462,0.00108,0.093338,36346,0.11714,0
9564,"guillera-arroita g, 2017, ecography, v40, doi 10.1111/ecog.02445",990,1109,15,990,0.505979,0.001077,0.10588,51834,0.153407,0
5901,"denes fv, 2015, methods ecol evol, v6, p543, doi 10.1111/2041-210x.12333",896,1041,17,896,0.504647,0.00106,0.094825,38021,0.111635,0
9557,"guillera-arroita g, 2010, methods ecol evol, v1, p131, doi 10.1111/j.2041-210x.2010.00017.x",819,905,14,819,0.502677,0.001031,0.117533,39370,0.13979,0
24921,"van strien aj, 2013, j appl ecol, v50, p1450, doi 10.1111/1365-2664.12158",693,788,13,693,0.498507,0.001028,0.121846,29216,0.083979,0
14926,"mackenzie di, 2002, ecology, v83, p2387, doi 10.1890/0012-9658(2002)083[2387:hsdpbi]2.0.co;2",720,800,14,720,0.497608,0.001012,0.108967,28205,0.107619,0
3464,"burnham kp, 2011, behav ecol sociobiol, v65, p23, doi 10.1007/s00265-010-1029-6",744,825,12,744,0.49928,0.00101,0.115693,31977,0.094622,0
10729,"hobbs n.t., 2015, bayesian models stat, doi [10.1016/j.tree.2018.06.004, doi 10.1515/9781400866557]",540,571,9,540,0.493557,0.000988,0.141235,20554,0.069949,0
10659,"hines j. e., 2006, presence software es",806,895,16,806,0.489917,0.000985,0.089583,29062,0.093064,0
14935,"mackenzie di, 2006, j wildlife manage, v70, p367, doi 10.2193/0022-541x(2006)70[367:mtporu]2.0.co;2",975,1110,17,975,0.500361,0.000981,0.089085,42300,0.138024,0
26025,"wickham h, 2009, use r, p1, doi 10.1007/978-0-387-98141-3_1",477,494,8,477,0.496621,0.000975,0.15156,17206,0.063823,0
6000,"devarajan k, 2020, ecography, v43, p1612, doi 10.1111/ecog.04957",830,899,12,830,0.50509,0.000974,0.120273,41378,0.124298,0
2159,"bibby c.j., 2000, description measurem",824,911,15,824,0.501921,0.000973,0.109506,37131,0.119746,0
4793,"conn pb, 2018, ecol monogr, v88, p526, doi 10.1002/ecm.1314",715,764,10,715,0.503126,0.00097,0.136037,34724,0.111625,0
21712,"schoener tw, 1974, science, v185, p27, doi 10.1126/science.185.4145.27",782,894,11,782,0.500416,0.000969,0.138648,42339,0.1152,0
8749,"gibson la, 2004, j appl ecol, v41, p213, doi 10.1111/j.0021-8901.2004.00896.x",152,157,3,152,0.455288,0.00095,0.363018,4166,0.026726,0
8463,"gaston kj, 2010, science, v327, p154, doi 10.1126/science.1182818",231,232,4,231,0.471318,0.000948,0.276755,7352,0.029115,0
12660,"kery m, 2009, ecology, v90, p1279, doi 10.1890/07-1794.1",1236,1520,22,1236,0.509036,0.000936,0.081176,61956,0.17492,0
19541,"prugh lr, 2009, bioscience, v59, p779, doi 10.1525/bio.2009.59.9.9",955,1188,17,955,0.501716,0.000935,0.110988,50559,0.145262,0
19562,"pulliam hr, 1988, am nat, v132, p652, doi 10.1086/284880",550,577,10,550,0.498011,0.000916,0.143322,21638,0.079958,0
8567,"gelman a, 2008, ann appl stat, v2, p1360, doi 10.1214/08-aoas191",548,597,10,548,0.496038,0.000914,0.138266,20723,0.076847,0
1112,"bailey ll, 2007, ecol appl, v17, p281, doi 10.1890/1051-0761(2007)017[0281:sdtios]2.0.co;2",1025,1206,21,1025,0.503238,0.000909,0.0817,42876,0.144266,0
11909,"johnson dh, 1980, ecology, v61, p65, doi 10.2307/1937156",953,1025,13,953,0.501716,0.000907,0.14705,66706,0.192936,0
26679,"yackulic cb, 2015, ecology, v96, p16, doi 10.1890/14-1361.1",716,781,11,716,0.495601,0.000906,0.120627,30877,0.080594,0
12525,"kellner kf, 2014, plos one, v9, doi 10.1371/journal.pone.0111436",781,863,14,781,0.503998,0.000905,0.112039,34126,0.116212,0
25346,"waddle jh, 2010, ecol appl, v20, p1467, doi 10.1890/09-0850.1",722,807,13,722,0.500583,0.000899,0.120504,31365,0.105149,0
12661,"kery m, 2009, environ ecol stat se, v3, p639, doi 10.1007/978-0-387-78151-8_28",995,1153,17,995,0.50595,0.000898,0.096199,47572,0.153407,0
5219,"crooks kr, 1999, nature, v400, p563, doi 10.1038/23028",1146,1353,16,1146,0.501865,0.000896,0.129584,85018,0.217415,0
7868,"fortin mj, 2005, spatial analysis: a guide for ecologists",179,183,3,179,0.456433,0.000894,0.377566,6015,0.017507,0
25643,"watson jem, 2014, nature, v515, p67, doi 10.1038/nature13947",895,966,14,895,0.497434,0.000883,0.099564,39832,0.122881,0
20985,"royle ja, 2006, ecology, v87, p835, doi 10.1890/0012-9658(2006)87[835:gsomaf]2.0.co;2",1065,1293,21,1065,0.508041,0.000866,0.090983,51549,0.159532,0
3510,"butchart shm, 2010, science, v328, p1164, doi 10.1126/science.1187512",551,582,10,551,0.495947,0.000863,0.142247,21554,0.086085,0
591,"anderson mj, 2001, austral ecol, v26, p32, doi 10.1046/j.1442-9993.2001.01070.x",272,272,3,272,0.472876,0.000859,0.362519,13361,0.025821,0
12123,"joseph ln, 2009, ecol appl, v19, p631, doi 10.1890/07-2107.1",842,986,15,842,0.503163,0.000851,0.112738,39916,0.116466,0
17831,"o'connell af, 2006, j wildlife manage, v70, p1625, doi 10.2193/0022-541x(2006)70[1625:esoadp]2.0.co;2",1132,1282,17,1132,0.507155,0.000846,0.124926,79971,0.221183,0
23326,"strahler an, 1952, geol soc am bull, v63, p1117, doi 10.1130/0016-7606(1952)63[1117:haaoet]2.0.co;2",193,193,2,193,0.461567,0.000838,0.529199,9805,0.029729,0
20208,"rich ln, 2017, global ecol biogeogr, v26, p918, doi 10.1111/geb.12600",1009,1185,16,1009,0.501131,0.000829,0.103975,52875,0.152301,0
14934,"mackenzie di, 2005, j wildlife manage, v69, p849, doi 10.2193/0022-541x(2005)069[0849:watiwp]2.0.co;2",989,1121,21,989,0.502406,0.000822,0.082767,40437,0.14543,0
1834,"bellier e, 2016, methods ecol evol, v7, p1029, doi 10.1111/2041-210x.12572",552,621,10,552,0.497938,0.000818,0.139897,21275,0.062215,0
11509,"iucn, 2020, iucn red list 2017 2",521,535,7,521,0.491484,0.000805,0.16345,22141,0.067686,0
4582,"clutton-brock t, 2010, trends ecol evol, v25, p562, doi 10.1016/j.tree.2010.08.002",357,358,4,357,0.474278,0.000802,0.267979,17029,0.029543,0
23387,"stuart sn, 2004, science, v306, p1783, doi 10.1126/science.1103538",805,916,13,805,0.501921,0.000796,0.122221,39552,0.106017,0
23429,"su y.-s., 2015, r2jags",647,715,12,647,0.500352,0.000791,0.13238,27665,0.109215,0
26865,"zedler jb, 2005, annu rev env resour, v30, p39, doi 10.1146/annurev.energy.30.050504.144248",581,654,8,581,0.49522,0.000788,0.180391,30394,0.086232,0
9566,"guillera-arroita g, 2019, ecol evol, v9, p780, doi 10.1002/ece3.4821",777,874,11,777,0.503126,0.000782,0.137567,41473,0.120441,0
21585,"schielzeth h, 2010, methods ecol evol, v1, p103, doi 10.1111/j.2041-210x.2010.00012.x",826,994,13,826,0.503173,0.000782,0.124432,42397,0.123982,0
6222,"dirzo r, 2014, science, v345, p401, doi 10.1126/science.1251817",725,787,12,725,0.496174,0.000779,0.114612,30080,0.101051,0
15648,"mazerolle mj, 2007, j herpetol, v41, p672, doi 10.1670/07-061.1",813,935,16,813,0.501893,0.000767,0.100294,33105,0.105867,0
14816,"mac arthur robert h., 1967",465,496,7,465,0.489891,0.000763,0.186327,20101,0.069197,0
11922,"johnson ds, 2013, ecology, v94, p801, doi 10.1890/12-0564.1",573,649,13,573,0.498002,0.000762,0.127265,20856,0.097108,0
6296,"doherty pf, 2012, j ornithol, v152, ps317, doi 10.1007/s10336-010-0598-5",743,793,13,743,0.494776,0.00076,0.103442,28514,0.090926,0
17438,"newbold t, 2015, nature, v520, p45, doi 10.1038/nature14324",800,886,12,800,0.500241,0.000757,0.12128,38761,0.124809,0
3167,"brown jh, 1977, ecology, v58, p445, doi 10.2307/1935620",518,555,9,518,0.492254,0.00075,0.150243,20118,0.068612,0
23110,"steenweg r, 2018, ecology, v99, p172, doi 10.1002/ecy.2054",604,656,12,604,0.497178,0.000744,0.121632,22150,0.089909,0
979,"auguie b., 2017, package gridextra mi",562,576,8,562,0.489518,0.000741,0.161944,25529,0.075703,0
18445,"parmesan c, 2006, annu rev ecol evol s, v37, p637, doi 10.1146/annurev.ecolsys.37.091305.110100",545,569,8,545,0.495628,0.000736,0.164139,24332,0.07141,0
3031,"brockerhoff eg, 2008, biodivers conserv, v17, p925, doi 10.1007/s10531-008-9380-x",603,635,8,603,0.499169,0.000733,0.169193,30709,0.076387,0
8744,"gibson l, 2011, nature, v478, p378, doi 10.1038/nature10425",752,831,11,752,0.497608,0.000732,0.129466,36558,0.1052,0
12304,"karanth ku, 2011, j appl ecol, v48, p1048, doi 10.1111/j.1365-2664.2011.02002.x",1227,1415,18,1227,0.503576,0.000731,0.115474,86854,0.225992,0
4032,"ceballos g, 2015, sci adv, v1, doi 10.1126/sciadv.1400253",695,728,9,695,0.497223,0.000727,0.144623,34878,0.098377,0
23109,"steenweg r, 2017, front ecol environ, v15, p26, doi 10.1002/fee.1448",890,1027,16,890,0.502761,0.000725,0.110069,43544,0.143266,0
18989,"pettorelli n, 2011, clim res, v46, p15, doi 10.3354/cr00936",492,509,7,492,0.496347,0.000717,0.170508,20595,0.07009,0
16654,"mollenhauer r, 2020, southeast nat, v19, p308, doi 10.1656/058.019.0210",236,236,2,236,0.462333,0.000712,0.499351,13847,0.0255,0
