"Element","h_index","g_index","m_index","TC","NP","PY_start"
"ANNALES ZOOLOGICI FENNICI","2","2","0.133","15","2","2010"
"BIOLOGICAL INVASIONS","2","5","0.182","27","5","2014"
"BIOMETRICS","2","2","0.143","273","2","2011"
"BIOTROPICA","2","3","0.250","11","3","2017"
"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES","2","3","0.286","37","3","2018"
"CANADIAN JOURNAL OF ZOOLOGY","2","2","0.182","68","2","2014"
"DIVERSITY-BASEL","2","2","0.500","4","3","2021"
"ECOLOGICAL MONOGRAPHS","2","2","0.111","181","2","2007"
"ENDANGERED SPECIES RESEARCH","2","3","0.333","9","3","2019"
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH","2","2","0.143","61","2","2011"
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","2","2","0.250","94","2","2017"
"HERPETOLOGICA","2","2","0.222","11","2","2016"
"HERPETOLOGICAL CONSERVATION AND BIOLOGY","2","2","0.333","6","5","2019"
"HYDROBIOLOGIA","2","3","0.250","23","3","2017"
"INTERNATIONAL JOURNAL OF PRIMATOLOGY","2","2","0.182","52","2","2014"
"JOURNAL OF FIELD ORNITHOLOGY","2","2","0.250","9","2","2017"
"JOURNAL OF INSECT CONSERVATION","2","2","0.118","75","2","2008"
"JOURNAL OF TROPICAL ECOLOGY","2","2","0.105","46","2","2006"
"OIKOS","2","3","0.154","69","3","2012"
"ORNITHOLOGICAL APPLICATIONS","2","2","0.667","10","2","2022"
"PERSPECTIVES IN ECOLOGY AND CONSERVATION","2","3","0.286","17","3","2018"
"POPULATION ECOLOGY","2","2","0.250","12","2","2017"
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","2","2","0.667","12","2","2022"
"RESTORATION ECOLOGY","2","3","0.167","14","3","2013"
"WETLANDS","2","3","0.182","33","3","2014"
"WETLANDS ECOLOGY AND MANAGEMENT","2","2","0.182","18","2","2014"
"WILDLIFE SOCIETY BULLETIN","2","4","0.154","31","4","2012"
"ACTA CHIROPTEROLOGICA","1","2","0.143","5","2","2018"
"ACTA HERPETOLOGICA","1","1","0.167","4","1","2019"
"AFRICAN ZOOLOGY","1","1","0.167","4","1","2019"
"AMERICAN JOURNAL OF PRIMATOLOGY","1","1","0.200","4","1","2020"
"ANIMALS","1","2","0.250","8","2","2021"
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","1","1","0.125","7","1","2017"
"AQUATIC ECOSYSTEM HEALTH & MANAGEMENT","1","1","0.143","10","1","2018"
"BEHAVIORAL ECOLOGY","1","1","0.250","2","1","2021"
"BIOMETRICAL JOURNAL","1","1","0.111","13","1","2016"
"BIOTA NEOTROPICA","1","1","0.167","7","1","2019"
"BMC BIOLOGY","1","1","0.250","6","1","2021"
"BMC ECOLOGY AND EVOLUTION","1","1","0.333","1","1","2022"
"CALIFORNIA FISH AND GAME","1","1","0.143","1","2","2018"
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","1","1","0.091","6","1","2014"
"CONSERVATION SCIENCE AND PRACTICE","1","1","0.333","3","1","2022"
"COPEIA","1","1","0.125","3","1","2017"
"ECOLOGICAL ENTOMOLOGY","1","1","0.250","5","1","2021"
"ECOLOGICAL INFORMATICS","1","1","0.333","1","1","2022"
"ECOLOGICAL PROCESSES","1","1","0.333","1","1","2022"
"ECOLOGY LETTERS","1","1","0.333","2","1","2022"
"ECOSCIENCE","1","1","0.053","17","1","2006"
"ENVIRONMENTAL CONSERVATION","1","1","0.200","1","1","2020"
"ENVIRONMENTAL MANAGEMENT","1","1","0.143","12","1","2018"
"ESTUARINE COASTAL AND SHELF SCIENCE","1","1","0.333","2","1","2022"
"EUROPEAN JOURNAL OF FOREST RESEARCH","1","1","0.100","5","1","2015"
"FRESHWATER SCIENCE","1","2","0.200","10","2","2020"
"FRONTIERS IN MARINE SCIENCE","1","1","0.333","4","1","2022"
"HERPETOLOGICAL JOURNAL","1","1","0.250","7","1","2021"
"IBIS","1","1","0.200","9","1","2020"
"INSECT CONSERVATION AND DIVERSITY","1","1","0.125","3","1","2017"
"INSECTS","1","1","0.250","10","1","2021"
"JOURNAL FOR NATURE CONSERVATION","1","1","0.083","42","1","2013"
"JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS","1","1","0.143","3","1","2018"
"JOURNAL OF APPLIED ICHTHYOLOGY","1","2","0.125","12","2","2017"
"JOURNAL OF ARID ENVIRONMENTS","1","2","0.100","14","2","2015"
"JOURNAL OF ASIA-PACIFIC BIODIVERSITY","1","1","0.167","2","1","2019"
"JOURNAL OF BIOGEOGRAPHY","1","1","0.143","4","1","2018"
"JOURNAL OF ECOLOGY","1","1","0.083","108","1","2013"
"JOURNAL OF FISH BIOLOGY","1","1","0.200","4","1","2020"
"JOURNAL OF GREAT LAKES RESEARCH","1","1","0.200","4","1","2020"
"JOURNAL OF ORNITHOLOGY","1","1","0.250","1","1","2021"
"JOURNAL OF PLANT ECOLOGY","1","1","0.100","10","1","2015"
"JOURNAL OF RAPTOR RESEARCH","1","1","0.250","2","2","2021"
"JOURNAL OF SEA RESEARCH","1","1","0.100","10","1","2015"
"JOURNAL OF WILDLIFE AND BIODIVERSITY","1","1","0.250","2","1","2021"
"MAMMALIA","1","1","0.143","3","1","2018"
"MARINE AND FRESHWATER RESEARCH","1","1","0.100","3","1","2015"
"MARINE ECOLOGY PROGRESS SERIES","1","2","0.063","12","2","2009"
"MOVEMENT ECOLOGY","1","1","0.200","17","1","2020"
"OECOLOGIA","1","1","0.167","2","1","2019"
"ORNIS FENNICA","1","1","0.083","1","1","2013"
"ORNITHOLOGICAL SCIENCE","1","1","0.111","3","1","2016"
"PEOPLE AND NATURE","1","1","0.333","4","1","2022"
"RIVER RESEARCH AND APPLICATIONS","1","1","0.100","14","1","2015"
"SCIENCE","1","1","0.200","309","1","2020"
"SCIENCE OF THE TOTAL ENVIRONMENT","1","1","0.333","2","1","2022"
"STATISTICA SINICA","1","1","0.100","12","1","2015"
"TROPICAL CONSERVATION SCIENCE","1","1","0.200","1","1","2020"
"WATERBIRDS","1","1","0.091","10","1","2014"
"WILDLIFE MONOGRAPHS","1","1","0.100","142","1","2015"
